"systematic_name_nonumber","gene_name","description","SGD","systematic_name_wnumber"
"YOR298W","MUM3","Protein of unknown function involved in outer spore wall organization; has similarity to the tafazzins superfamily of acyltransferases","S000005824","4932.YOR298W"
"YHR139C","SPS100","Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication","S000001181","4932.YHR139C"
"YLR339C",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPP0","S000004331","4932.YLR339C"
"YBR250W","SPO23","Protein of unknown function; associates with meiosis-specific protein Spo1p","S000000454","4932.YBR250W"
"YPR010C-A",NA,"Putative protein of unknown function; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cytosol; conserved among Saccharomyces sensu stricto species","S000122558","4932.YPR010C-A"
"YKL165C-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","S000007617","4932.YKL165C-A"
"YCR013C",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription of both YCR013C and the overlapping essential gene PGK1 is reduced in a gcr1 null mutant","S000000606","4932.YCR013C"
"YMR075C-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RCO1/YMR075W","S000004679","4932.YMR075C-A"
"YOR190W","SPR1","Sporulation-specific exo-1,3-beta-glucanase; contributes to ascospore thermoresistance; SPR1 has a paralog, EXG1, that arose from the whole genome duplication","S000005716","4932.YOR190W"
"YLR414C","PUN1","Plasma membrane protein with a role in cell wall integrity; co-localizes with Sur7p in punctate membrane patches; null mutant displays decreased thermotolerance; transcription induced upon cell wall damage and metal ion stress","S000004406","4932.YLR414C"
"YPR006C","ICL2","2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol","S000006210","4932.YPR006C"
"YJR085C",NA,"Protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress","S000003845","4932.YJR085C"
"YMR305C","SCW10","Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on mutant phenotype and its regulation by Ste12p; SWC10 has a paralog, SCW4, that arose from the whole genome duplication","S000004921","4932.YMR305C"
"YBR191W-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","S000007594","4932.YBR191W-A"
"YMR304C-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 3' end of verified ORF SCW10/YMR305C","S000004919","4932.YMR304C-A"
"YDR510C-A",NA,"Dubious open reading frame unlikely to encode a functional protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching","S000028615","4932.YDR510C-A"
"YOR215C","AIM41","Protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss","S000005741","4932.YOR215C"
"YLR163W-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","S000028844","4932.YLR163W-A"
"YAR073W","IMD1","Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication","S000000095","4932.YAR073W"
"YLR437C","DIF1","Protein that regulates nuclear localization of Rnr2p and Rnr4p; phosphorylated by Dun1p in response to DNA damage and degraded; N-terminal half shows similarity to S. pombe Spd1 protein; DIF1 has a paralog, SML1, that arose from the whole genome duplication","S000004429","4932.YLR437C"
"YMR173W-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene DDR48/YML173W","S000004785","4932.YMR173W-A"
"YMR052C-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","S000004655","4932.YMR052C-A"
"YJR146W",NA,"Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps HMS2","S000003907","4932.YJR146W"
"YDL054C","MCH1","Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport","S000002212","4932.YDL054C"
"YHR136C","SPL2","Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm","S000001178","4932.YHR136C"
"YLR194C","NCW2","Structural constituent of the cell wall; attached to the plasma membrane by a GPI-anchor; expression is upregulated in response to cell wall stress; null mutant is sensitive to the antifungal agent polyhexamethylene biguanide, resistant to zymolyase treatment and has increased chitin deposition","S000004184","4932.YLR194C"
"YMR052W","FAR3","Protein of unknown function; involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far7p, Far8p, Far9p, Far10p, and Far11p; localizes to the endoplasmic reticulum; protein abundance increases in response to DNA replication stress","S000004656","4932.YMR052W"
"YBL071C",NA,"Putative protein of unknown function; conserved among S. cerevisiae strains; YBL071C is not an essential gene","S000000167","4932.YBL071C"
"YDR275W","BSC2","Protein of unknown function; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; null mutant displays increased translation rate and increased readthrough of premature stop codons; BSC2 has a paralog, IRC23, that arose from the whole genome duplication","S000002683","4932.YDR275W"
"YNR002C","ATO2","Putative transmembrane protein involved in export of ammonia; ammonia is a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Y. lipolytica Gpr1p; ATO2 has a paralog, ADY2, that arose from the whole genome duplication","S000005285","4932.YNR002C"
"YPR197C",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF SGE1/YPR198W","S000006401","4932.YPR197C"
"YOL091W","SPO21","Component of the meiotic outer plaque of the spindle pole body; involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation; SPO21 has a paralog, YSW1, that arose from the whole genome duplication","S000005451","4932.YOL091W"
"YMR173W","DDR48","DNA damage-responsive protein; expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS; protein abundance increases in response to DNA replication stress","S000004784","4932.YMR173W"
"YNL319W",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HXT14","S000005263","4932.YNL319W"
"YOR313C","SPS4","Protein whose expression is induced during sporulation; not required for sporulation; heterologous expression in E. coli induces the SOS response that senses DNA damage","S000005840","4932.YOR313C"
"YHL024W","RIM4","Putative RNA-binding protein; required for the expression of early and middle sporulation genes","S000001016","4932.YHL024W"
"YHR056W-A",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF RSC30/YHR056C","S000028777","4932.YHR056W-A"
"YLL057C","JLP1","Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase; involved in sulfonate catabolism for use as a sulfur source; contains sequence that resembles a J domain (typified by the E. coli DnaJ protein); induced by sulphur starvation","S000003980","4932.YLL057C"
"YOL154W","ZPS1","Putative GPI-anchored protein; transcription is induced under low-zinc conditions, as mediated by the Zap1p transcription factor, and at alkaline pH","S000005514","4932.YOL154W"
"YGL224C","SDT1","Pyrimidine nucleotidase; responsible for production of nicotinamide riboside and nicotinic acid riboside; overexpression suppresses the 6-AU sensitivity of transcription elongation factor S-II, as well as resistance to other pyrimidine derivatives; SDT1 has a paralog, PHM8, that arose from the whole genome duplication","S000003192","4932.YGL224C"
"YMR151W","YIM2","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 5% of ORF overlaps the verified gene IMP1","S000004759","4932.YMR151W"
"YDR365C","ESF1","Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels","S000002773","4932.YDR365C"
"YGL116W","CDC20","Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress","S000003084","4932.YGL116W"
"YOR162C","YRR1","Zn2-Cys6 zinc-finger transcription factor; activates genes involved in multidrug resistance; paralog of Yrm1p, acting on an overlapping set of target genes; YRR1 has a paralog, PDR8, that arose from the whole genome duplication","S000005688","4932.YOR162C"
"YPR112C","MRD1","Essential conserved small ribosomal subunit (40s) synthesis factor; component of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains five consensus RNA-binding domains and binds to the pre-rRNA at two sites within the 18S region","S000006316","4932.YPR112C"
"YLR115W","CFT2","Subunit of the mRNA cleavage and polyadenlylation factor (CPF); required for pre-mRNA cleavage, polyadenylation and poly(A) site recognition, 43% similarity with the mammalian CPSF-100 protein.","S000004105","4932.YLR115W"
